Date,USA_Index_Total,USA_Index_SMA(36),USA_Index_SMA(12),USA_Bonds_10Y2Y,interest_rates_USA,S&P500_change_stat_mean,MSCI_World_change_stat_mean,Dollar_Price_in_Yen_scaled_mean,VIX_Index_Price_Scaled,USA_Index_PCA,Japan_Index_Total,Japan_Index_SMA(36),Japan_Index_SMA(12),Nikkei_225_change_stat_mean,Japan_Index_PCA
1996-05-01,0.0,-1.0,-0.3333333333333333,0.6408695652173914,5.24,0.44410985834811295,0.2915135260506787,5.320195652173913,0.19364099058659337,3.199498837350234,-3.0,-2.5833333333333335,-2.6666666666666665,0.7104867325732155,2.6733653380274602
1996-06-01,0.0,-0.9722222222222222,-0.3333333333333333,0.615,5.27,0.40868125927331594,0.30871975866050255,5.444725,0.19692827958773038,3.3286574972831793,-4.0,-2.611111111111111,-2.8333333333333335,0.8776592391246743,2.4978463017752555
1996-07-01,0.0,-0.9444444444444444,-0.3333333333333333,0.5947826086956521,5.4,0.2631667316912597,0.1319983110762841,5.459347826086956,0.21279056189604323,3.310477908340396,-3.0,-2.611111111111111,-2.8333333333333335,0.4429526505299027,2.5179005043749214
1996-08-01,0.0,-0.9166666666666666,-0.3333333333333333,0.6063636363636363,5.22,0.29991777491915367,0.23111374935092965,5.391636363636364,0.19159730752309495,3.229305512794023,-3.0,-2.611111111111111,-2.9166666666666665,0.2419421792448758,2.4473914242918546
1996-09-01,0.0,-0.8888888888888888,-0.3333333333333333,0.5966666666666667,5.3,0.32694626493174167,0.23597126143904656,5.4915,0.2028805163760213,3.3512568192137238,-3.0,-2.611111111111111,-2.9166666666666665,0.3940855838344674,2.4612807816308213
1996-10-01,-1.0,-0.8888888888888888,-0.4166666666666667,0.6213043478260869,5.24,0.3831632725272868,0.27373707474492665,5.6196086956521745,0.19656968683311446,3.1737645126123435,-3.0,-2.611111111111111,-3.0833333333333335,0.326550958951702,2.4030180609780216
1996-11-01,0.0,-0.8611111111111112,-0.4166666666666667,0.4990476190476191,5.31,0.44764437821806774,0.3133535983998272,5.616809523809524,0.19349952563039588,3.438345609318548,-3.0,-2.5833333333333335,-3.1666666666666665,0.2655221108200654,2.2297919133845343
1996-12-01,0.0,-0.8333333333333334,-0.4166666666666667,0.52,5.29,0.372961492183747,0.2410755102763166,5.699295454545455,0.23099967724858067,3.4925883184603657,-3.0,-2.5833333333333335,-3.3333333333333335,-0.0033460960790183125,2.3830448419232653
1997-01-01,0.0,-0.7777777777777778,-0.3333333333333333,0.5682608695652174,5.25,0.4225960853421658,0.2240700951528306,5.8908695652173915,0.23671964314041363,3.3626417193161835,-5.0,-2.6666666666666665,-3.4166666666666665,-0.17772704958543484,2.3412118093792285
1997-02-01,0.0,-0.7222222222222222,-0.25,0.5189999999999999,5.19,0.4214761400279223,0.2402396206601721,6.14435,0.2422179140097417,3.2219931400400452,-5.0,-2.75,-3.5,-0.08416355892309957,2.0375651048885426
