Date,S&P500,DowJones,MSCI_World,Nikkei_225,VIX_Index_Price,Dollar_Price_in_Yen,JPY_Volatility_in_%,Bonds_10Y2Y,Bonds_10Y3M
1997-06-27,887.2999877929688,7687.7001953125,944.7999877929688,20523.75,21.260000228881836,114.55,1.24,0.43,1.31
1997-06-30,885.1400146484375,7672.7998046875,942.2000122070312,20604.9609375,21.469999313354492,114.55,0.0,0.43,1.26
1997-07-01,891.030029296875,7722.2998046875,939.7000122070312,20175.51953125,21.540000915527344,114.85,0.26,0.43,1.27
1997-07-02,904.030029296875,7795.3798828125,944.2000122070312,20196.419921875,20.739999771118164,114.4,-0.39,0.4,1.22
1997-07-03,916.9199829101562,7895.7998046875,951.2000122070312,20121.41015625,18.459999084472656,113.61,-0.69,0.38,1.17
1997-07-04,916.9199829101562,7895.7998046875,951.2000122070312,20121.41015625,18.459999084472656,114.2,0.52,0.38,1.17
1997-07-07,912.2000122070312,7858.5,962.5999755859375,19705.169921875,18.709999084472656,112.7,-1.31,0.35,1.15
1997-07-08,918.75,7962.2998046875,961.7999877929688,19853.890625,19.079999923706055,113.23,0.47,0.35,1.15
1997-07-09,907.5399780273438,7842.39990234375,963.9000244140625,19697.169921875,18.579999923706055,112.71,-0.46,0.35,1.14
1997-07-10,913.780029296875,7886.7998046875,958.5999755859375,19754.779296875,19.889999389648438,113.1,0.35,0.35,1.11
1997-07-11,916.6799926757812,7921.7998046875,960.7000122070312,19875.490234375,19.290000915527344,114.2,0.97,0.34,1.09
1997-07-14,918.3800048828125,7923.0,963.0999755859375,20228.720703125,19.020000457763672,113.78,-0.37,0.32,1.04
1997-07-15,925.760009765625,7975.7001953125,966.2999877929688,20069.41015625,19.510000228881836,115.6,1.6,0.34,1.04
1997-07-16,936.5900268554688,8038.89990234375,966.5999755859375,20358.740234375,19.799999237060547,115.55,-0.04,0.33,1.03
1997-07-17,931.6099853515625,8020.7998046875,978.5999755859375,20519.25,19.969999313354492,115.8,0.22,0.32,1.01
1997-07-18,915.2999877929688,7890.5,976.9000244140625,20249.3203125,21.010000228881836,115.45,-0.3,0.33,1.0
1997-07-21,912.9400024414062,7906.7001953125,963.7000122070312,20157.01953125,23.549999237060547,116.15,0.61,0.33,1.0
1997-07-22,933.97998046875,8061.60009765625,957.2999877929688,20157.01953125,23.110000610351562,115.1,-0.9,0.25,0.97
1997-07-23,936.5599975585938,8088.35986328125,970.4000244140625,20130.509765625,21.309999465942383,115.6,0.43,0.29,0.94
1997-07-24,940.2999877929688,8116.89990234375,976.0,20286.23046875,21.56999969482422,116.02,0.36,0.29,0.93
1997-07-25,938.7899780273438,8113.39990234375,975.7000122070312,20389.5390625,20.639999389648438,116.88,0.74,0.31,0.94
1997-07-28,936.4500122070312,8121.10009765625,973.4000244140625,20575.259765625,20.56999969482422,117.8,0.79,0.3,0.92
1997-07-29,942.2899780273438,8174.5,970.9000244140625,20402.740234375,22.280000686645508,118.35,0.47,0.32,0.87
