DATE,LCEAMN01JPM661S
2012-10-01,97.58286
2012-11-01,96.38674
2012-12-01,97.18415
2013-01-01,98.77897
2013-02-01,98.67929000000001
2013-03-01,97.58286
2013-04-01,98.47994
2013-05-01,98.57961
2013-06-01,98.08124000000001
2013-07-01,96.18739000000001
2013-08-01,97.98156
2013-09-01,98.08124000000001
2013-10-01,98.87865
2013-11-01,98.38025999999999
2013-12-01,98.18092
2014-01-01,99.27735
2014-02-01,98.87865
2014-03-01,99.37702
2014-04-01,99.8754
2014-05-01,99.67605999999999
2014-06-01,101.4702
2014-07-01,100.6728
2014-08-01,100.5731
2014-09-01,99.37702
2014-10-01,99.17766999999999
2014-11-01,98.77897
2014-12-01,99.77573000000001
2015-01-01,99.4767
2015-02-01,99.17766999999999
2015-03-01,99.77573000000001
2015-04-01,99.77573000000001
2015-05-01,100.0748
2015-06-01,98.97832
2015-07-01,101.2709
2015-08-01,99.67605999999999
2015-09-01,100.4735
2015-10-01,100.3738
2015-11-01,100.3738
2015-12-01,100.5731
2016-01-01,99.8754
2016-02-01,100.2741
2016-03-01,100.2741
2016-04-01,100.0748
2016-05-01,99.77573000000001
2016-06-01,100.0748
2016-07-01,102.5667
2016-08-01,101.2709
2016-09-01,100.5731
2016-10-01,101.3705
2016-11-01,100.9718
2016-12-01,101.0715
2017-01-01,102.2676
2017-02-01,101.6696
2017-03-01,100.4735
2017-04-01,101.4702
2017-05-01,100.8722
2017-06-01,101.9686
2017-07-01,102.5667
2017-08-01,101.5699
2017-09-01,103.2644
2017-10-01,102.2676
2017-11-01,101.7692
2017-12-01,102.9654
2018-01-01,102.0683
2018-02-01,102.6663
2018-03-01,103.2644
2018-04-01,102.766
2018-05-01,101.6696
2018-06-01,104.8592
2018-07-01,104.4605
2018-08-01,102.9654
2018-09-01,103.1647
2018-10-01,103.2644
2018-11-01,104.4605
2018-12-01,104.5602
2019-01-01,102.766
2019-02-01,102.6663
2019-03-01,103.9621
2019-04-01,103.1647
2019-05-01,106.0553
2019-06-01,104.0618
2019-07-01,103.8624
2019-08-01,104.1615
2019-09-01,102.9654
2019-10-01,102.8657
2019-11-01,105.85600000000001
2019-12-01,103.3641
2020-01-01,101.7692
2020-02-01,102.2676
2020-03-01,100.9718
2020-04-01,100.2741
2020-05-01,99.77573000000001
2020-06-01,97.38351
2020-07-01,98.38025999999999
2020-08-01,99.4767
2020-09-01,100.1744
2020-10-01,100.9718
2020-11-01,101.0715
2020-12-01,98.28059
2021-01-01,102.46700000000001
2021-02-01,102.16799999999999
2021-03-01,102.5667
2021-04-01,102.46700000000001
2021-05-01,102.3673
2021-06-01,101.8689
2021-07-01,100.6728
2021-08-01,102.9654
2021-09-01,102.766
2021-10-01,102.2676
2021-11-01,102.3673
2021-12-01,100.3738
2022-01-01,102.6663
2022-02-01,102.8657
2022-03-01,102.6663
2022-04-01,104.1615
2022-05-01,100.8722
2022-06-01,103.6631
2022-07-01,104.8592
2022-08-01,102.9654
2022-09-01,103.065
2022-10-01,103.3641
2022-11-01,104.2612
2022-12-01,103.8624
2023-01-01,103.6631
2023-02-01,103.3641
2023-03-01,104.7595
2023-04-01,104.2612
2023-05-01,106.3543
2023-06-01,109.4443
2023-07-01,106.5537
2023-08-01,105.3576
2023-09-01,105.4573
2023-10-01,105.2579
2023-11-01,104.1615
2023-12-01,107.5505
2024-01-01,104.9589
2024-02-01,104.9589
2024-03-01,104.9589
2024-04-01,106.5537
2024-05-01,106.6534
2024-06-01,114.2288
2024-07-01,111.6372
2024-08-01,107.6501
