DATE,USAHOUREAMISMEI
2000-01-01,70.99313000000001
2000-02-01,71.04337
2000-03-01,71.19411
2000-04-01,71.49556
2000-05-01,71.44532
2000-06-01,71.84725999999999
2000-07-01,71.99799
2000-08-01,72.14872
2000-09-01,72.34969
2000-10-01,72.75163
2000-11-01,72.95260999999999
2000-12-01,72.85212
2001-01-01,72.75163
2001-02-01,73.10333
2001-03-01,73.25406
2001-04-01,73.50527
2001-05-01,73.80673
2001-06-01,74.05795
2001-07-01,74.45989
2001-08-01,74.61062
2001-09-01,74.81159
2001-10-01,74.81159
2001-11-01,75.16329
2001-12-01,75.41450999999999
2002-01-01,75.56523
2002-02-01,75.91693000000001
2002-03-01,76.1179
2002-04-01,76.21839
2002-05-01,76.57009000000001
2002-06-01,76.72081999999999
2002-07-01,76.87154
2002-08-01,77.02228000000001
2002-09-01,77.22324
2002-10-01,77.67543
2002-11-01,77.82616
2002-12-01,78.07738
2003-01-01,78.32859
2003-02-01,78.47932
2003-03-01,78.5798
2003-04-01,78.52956
2003-05-01,78.83102
2003-06-01,78.98174
2003-07-01,79.18271999999999
2003-08-01,79.2832
2003-09-01,79.53442
2003-10-01,79.53442
2003-11-01,79.88611999999999
2003-12-01,79.9866
2004-01-01,80.13733
2004-02-01,80.23782
2004-03-01,80.43879
2004-04-01,80.69
2004-05-01,80.74024
2004-06-01,80.94122
2004-07-01,80.99146
2004-08-01,81.3934
2004-09-01,81.89583
2004-10-01,81.7451
2004-11-01,81.94608000000001
2004-12-01,82.0968
2005-01-01,82.29778
2005-02-01,82.54899
2005-03-01,82.59923
2005-04-01,82.64948000000001
2005-05-01,83.05141
2005-06-01,83.10166
2005-07-01,83.25239
2005-08-01,83.55384000000001
2005-09-01,83.40311
2005-10-01,83.8553
2005-11-01,83.75480999999999
2005-12-01,83.80506
2006-01-01,83.8553
2006-02-01,83.90554
2006-03-01,83.95579000000001
2006-04-01,84.10651
2006-05-01,84.25724
2006-06-01,84.30749
2006-07-01,84.30749
2006-08-01,84.5587
2006-09-01,84.5587
2006-10-01,84.96064
2006-11-01,85.06113
2006-12-01,85.41283
2007-01-01,85.46307
2007-02-01,85.66404
2007-03-01,85.91526
2007-04-01,86.41769000000001
2007-05-01,86.56841
2007-06-01,86.86986999999999
2007-07-01,86.86986999999999
2007-08-01,87.17133000000001
2007-09-01,87.27181
2007-10-01,87.22157
2007-11-01,87.62351
2007-12-01,87.62351
2008-01-01,87.92497
2008-02-01,88.27667
2008-03-01,88.57813
2008-04-01,88.57813
2008-05-01,88.87959000000001
2008-06-01,89.23129
2008-07-01,89.43226
2008-08-01,89.43226
2008-09-01,89.58298
2008-10-01,89.88445
2008-11-01,90.1859
2008-12-01,90.43711
2009-01-01,90.48736
2009-02-01,90.8893
2009-03-01,91.09026999999999
2009-04-01,91.241
2009-05-01,91.09026999999999
2009-06-01,91.34148
2009-07-01,91.9444
2009-08-01,92.04488
2009-09-01,92.54731
2009-10-01,92.34634
2009-11-01,92.54731
2009-12-01,92.54731
2010-01-01,92.59756
2010-02-01,92.84877
2010-03-01,92.79852
2010-04-01,92.9995
2010-05-01,93.3512
2010-06-01,93.30096
2010-07-01,93.65266
2010-08-01,93.7029
2010-09-01,94.00435999999999
2010-10-01,94.0546
2010-11-01,94.25556999999999
2010-12-01,94.4063
2011-01-01,94.95897
2011-02-01,95.05946
2011-03-01,94.95897
2011-04-01,95.00921
2011-05-01,95.05946
2011-06-01,94.95897
2011-07-01,95.1097
2011-08-01,94.95897
2011-09-01,94.95897
2011-10-01,95.36091
2011-11-01,95.31067
2011-12-01,95.41116
2012-01-01,95.56188
2012-02-01,95.51164
2012-03-01,95.56188
2012-04-01,95.96382
2012-05-01,95.61211999999999
2012-06-01,95.8131
2012-07-01,96.01406999999999
2012-08-01,95.71261
2012-09-01,95.8131
2012-10-01,95.91358000000001
2012-11-01,96.11456
2012-12-01,96.11456
2013-01-01,96.31551999999999
2013-02-01,96.56674
2013-03-01,96.51649
2013-04-01,96.61698
2013-05-01,96.66723
2013-06-01,96.86819
2013-07-01,96.81796
2013-08-01,97.06917
2013-09-01,97.16965
2013-10-01,97.27014
2013-11-01,97.47111
2013-12-01,97.77257
2014-01-01,97.72233
2014-02-01,97.92329000000001
2014-03-01,98.12427
2014-04-01,97.92329000000001
2014-05-01,98.07403000000001
2014-06-01,98.22475
2014-07-01,98.42573
2014-08-01,98.52620999999999
2014-09-01,98.47596999999999
2014-10-01,98.72718
2014-11-01,98.67694
2014-12-01,98.62669
2015-01-01,98.67694
2015-02-01,99.12913
2015-03-01,99.33009
2015-04-01,99.48083000000001
2015-05-01,99.73204
2015-06-01,100.0335
2015-07-01,100.1842
2015-08-01,100.3852
2015-09-01,100.8374
2015-10-01,100.7871
2015-11-01,100.7369
2015-12-01,100.9881
2016-01-01,101.2896
2016-02-01,101.4403
2016-03-01,101.8422
2016-04-01,102.3949
2016-05-01,102.5456
2016-06-01,102.8973
2016-07-01,102.9978
2016-08-01,103.249
2016-09-01,103.2993
2016-10-01,103.3998
2016-11-01,103.45
2016-12-01,103.65100000000001
2017-01-01,103.65100000000001
2017-02-01,103.7012
2017-03-01,103.9524
2017-04-01,104.2539
2017-05-01,104.5051
2017-06-01,104.7061
2017-07-01,105.10799999999999
2017-08-01,105.2085
2017-09-01,105.6105
2017-10-01,105.9119
2017-11-01,106.0626
2017-12-01,106.6153
2018-01-01,107.0173
2018-02-01,107.16799999999999
2018-03-01,107.4694
2018-04-01,107.8211
2018-05-01,107.6202
2018-06-01,107.8714
2018-07-01,107.7709
2018-08-01,108.3236
2018-09-01,108.5748
2018-10-01,109.027
2018-11-01,109.4289
2018-12-01,109.6299
2019-01-01,109.8308
2019-02-01,110.2328
2019-03-01,110.3835
2019-04-01,110.28299999999999
2019-05-01,110.7352
2019-06-01,111.2376
2019-07-01,111.4386
2019-08-01,111.5391
2019-09-01,111.6898
2019-10-01,111.9913
2019-11-01,112.4937
2019-12-01,112.7952
2020-01-01,112.7952
2020-02-01,113.2976
2020-03-01,113.4986
2020-04-01,114.1015
2020-05-01,114.5034
2020-06-01,113.5991
2020-07-01,114.6542
2020-08-01,114.9054
2020-09-01,115.458
2020-10-01,115.5083
2020-11-01,116.1112
2020-12-01,116.4629
2021-01-01,116.8146
2021-02-01,117.51799999999999
2021-03-01,117.51799999999999
2021-04-01,117.8195
2021-05-01,118.7741
2021-06-01,119.4775
2021-07-01,120.0804
2021-08-01,120.834
2021-09-01,121.0852
2021-10-01,121.4369
2021-11-01,121.7384
2021-12-01,122.5423
2022-01-01,123.2457
2022-02-01,123.4969
2022-03-01,124.4013
2022-04-01,124.8535
2022-05-01,125.5066
2022-06-01,125.3559
2022-07-01,126.1095
2022-08-01,126.3607
2022-09-01,126.8632
2022-10-01,127.6168
2022-11-01,128.4709
2022-12-01,129.0236
2023-01-01,129.8777
2023-02-01,129.7773
2023-03-01,130.3802
2023-04-01,130.7821
2023-05-01,131.3348
2023-06-01,132.4401
2023-07-01,132.9928
2023-08-01,133.043
2023-09-01,133.7464
2023-10-01,133.8972
2023-11-01,135.10299999999998
2023-12-01,136.3088
2024-01-01,136.7108
2024-02-01,137.4142
2024-03-01,137.9668
2024-04-01,138.41899999999998
2024-05-01,138.9214
2024-06-01,139.6248
2024-07-01,140.47899999999998
2024-08-01,140.5292
2024-09-01,141.2829
2024-10-01,141.6346
