"Date","Price","Open","High","Low","Vol.","Change %"
"10/19/1984","247.25","247.25","247.25","247.25","","-0.66%"
"10/18/1984","248.90","248.90","248.90","248.90","","-0.08%"
"10/17/1984","249.10","249.10","249.10","249.10","","0.05%"
"10/16/1984","248.98","248.98","248.98","248.98","","0.07%"
"10/15/1984","248.80","248.80","248.80","248.80","","0.28%"
"10/12/1984","248.10","248.10","248.10","248.10","","0.04%"
"10/11/1984","248.00","248.00","248.00","248.00","","0.38%"
"10/10/1984","247.05","247.05","247.05","247.05","","-0.22%"
"10/09/1984","247.60","247.60","247.60","247.60","","0.04%"
"10/08/1984","247.50","247.50","247.50","247.50","","0.22%"
"10/05/1984","246.95","246.95","246.95","246.95","","0.30%"
"10/04/1984","246.20","246.20","246.20","246.20","","0.18%"
"10/03/1984","245.75","245.75","245.75","245.75","","-0.10%"
"10/02/1984","246.00","246.00","246.00","246.00","","-0.16%"
"10/01/1984","246.40","246.40","246.40","246.40","","-0.20%"
"09/28/1984","246.90","246.90","246.90","246.90","","0.73%"
"09/27/1984","245.10","245.10","245.10","245.10","","-0.02%"
"09/26/1984","245.15","245.15","245.15","245.15","","-0.35%"
"09/25/1984","246.00","246.00","246.00","246.00","","0.74%"
"09/24/1984","244.20","244.20","244.20","244.20","","-0.08%"
"09/21/1984","244.40","244.40","244.40","244.40","","-1.01%"
"09/20/1984","246.90","246.90","246.90","246.90","","0.47%"
"09/19/1984","245.75","245.75","245.75","245.75","","-0.17%"
"09/18/1984","246.18","246.18","246.18","246.18","","-0.41%"
"09/17/1984","247.20","247.20","247.20","247.20","","0.63%"
"09/14/1984","245.65","245.65","245.65","245.65","","-0.06%"
"09/13/1984","245.80","245.80","245.80","245.80","","0.35%"
"09/12/1984","244.95","244.95","244.95","244.95","","-0.24%"
"09/11/1984","245.55","245.55","245.55","245.55","","-0.02%"
"09/10/1984","245.60","245.60","245.60","245.60","","-0.08%"
"09/07/1984","245.80","245.80","245.80","245.80","","0.70%"
"09/06/1984","244.10","244.10","244.10","244.10","","-0.25%"
"09/05/1984","244.70","244.70","244.70","244.70","","0.39%"
"09/04/1984","243.75","243.75","243.75","243.75","","0.76%"
"08/31/1984","241.90","241.90","241.90","241.90","","0.27%"
"08/30/1984","241.25","241.25","241.25","241.25","","0.27%"
"08/29/1984","240.60","240.60","240.60","240.60","","-0.25%"
"08/28/1984","241.20","241.20","241.20","241.20","","-0.17%"
"08/27/1984","241.60","241.60","241.60","241.60","","0.17%"
"08/24/1984","241.20","241.20","241.20","241.20","","0.25%"
"08/23/1984","240.60","240.60","240.60","240.60","","-0.29%"
"08/22/1984","241.30","241.30","241.30","241.30","","-0.35%"
"08/21/1984","242.15","242.15","242.15","242.15","","0.46%"
"08/20/1984","241.05","241.05","241.05","241.05","","-0.02%"
"08/17/1984","241.10","241.10","241.10","241.10","","0.12%"
"08/16/1984","240.80","240.80","240.80","240.80","","-0.45%"
"08/15/1984","241.90","241.90","241.90","241.90","","0.08%"
"08/14/1984","241.70","241.70","241.70","241.70","","-0.98%"
"08/13/1984","244.08","244.08","244.08","244.08","","0.65%"
"08/10/1984","242.50","242.50","242.50","242.50","","-0.35%"
"08/09/1984","243.35","243.35","243.35","243.35","","0.10%"
"08/08/1984","243.10","243.10","243.10","243.10","","-0.57%"
"08/07/1984","244.50","244.50","244.50","244.50","","0.56%"
"08/06/1984","243.15","243.15","243.15","243.15","","0.56%"
"08/03/1984","241.80","241.80","241.80","241.80","","-1.48%"
