observation_date,IRSTCI01JPM156N
2004-07-01,0.0000000000000000000
2004-08-01,0.0010000000000000000
2004-09-01,0.0010000000000000000
2004-10-01,0.0010000000000000000
2004-11-01,0.0010000000000000000
2004-12-01,0.0010000000000000000
2005-01-01,0.0010000000000000000
2005-02-01,0.0010000000000000000
2005-03-01,0.0020000000000000000
2005-04-01,0.0010000000000000000
2005-05-01,0.0010000000000000000
2005-06-01,0.0010000000000000000
2005-07-01,0.0010000000000000000
2005-08-01,0.0010000000000000000
2005-09-01,0.0010000000000000000
2005-10-01,0.0010000000000000000
2005-11-01,0.0010000000000000000
2005-12-01,0.0010000000000000000
2006-01-01,0.0010000000000000000
2006-02-01,0.0010000000000000000
2006-03-01,0.0020000000000000000
2006-04-01,0.0020000000000000000
2006-05-01,0.0200000000000000004
2006-06-01,0.0359999999999999973
2006-07-01,0.1549999999999999989
2006-08-01,0.2500000000000000000
2006-09-01,0.2610000000000000098
2006-10-01,0.2540000000000000036
2006-11-01,0.2570000000000000062
2006-12-01,0.2550000000000000044
2007-01-01,0.2670000000000000151
2007-02-01,0.3569999999999999840
2007-03-01,0.5090000000000000080
2007-04-01,0.5110000000000000098
2007-05-01,0.5210000000000000187
2007-06-01,0.5100000000000000089
2007-07-01,0.4989999999999999991
2007-08-01,0.4849999999999999867
2007-09-01,0.5100000000000000089
2007-10-01,0.5060000000000000053
2007-11-01,0.5000000000000000000
2007-12-01,0.4969999999999999973
2008-01-01,0.5020000000000000018
2008-02-01,0.5040000000000000036
2008-03-01,0.5110000000000000098
2008-04-01,0.5060000000000000053
2008-05-01,0.5050000000000000044
2008-06-01,0.5090000000000000080
2008-07-01,0.5030000000000000027
2008-08-01,0.5040000000000000036
2008-09-01,0.4949999999999999956
2008-10-01,0.4869999999999999885
2008-11-01,0.3009999999999999898
2008-12-01,0.2109999999999999931
2009-01-01,0.1199999999999999956
2009-02-01,0.1110000000000000014
2009-03-01,0.1000000000000000056
2009-04-01,0.1039999999999999952
2009-05-01,0.1019999999999999934
2009-06-01,0.1039999999999999952
2009-07-01,0.1019999999999999934
2009-08-01,0.1059999999999999970
2009-09-01,0.1019999999999999934
2009-10-01,0.1059999999999999970
2009-11-01,0.1049999999999999961
2009-12-01,0.1009999999999998954
2010-01-01,0.0960000000000000020
2010-02-01,0.1009999999999998954
2010-03-01,0.0969999999999999057
2010-04-01,0.0929999999999999993
2010-05-01,0.0909999999999999976
2010-06-01,0.0950000000000000011
2010-07-01,0.0940000000000000002
2010-08-01,0.0950000000000000011
2010-09-01,0.0909999999999999976
2010-10-01,0.0909999999999999976
2010-11-01,0.0909999999999999976
2010-12-01,0.0869999999999999940
2011-01-01,0.0850000000000000061
2011-02-01,0.0929999999999999993
2011-03-01,0.0850000000000000061
2011-04-01,0.0619999999999999996
2011-05-01,0.0690000000000000058
2011-06-01,0.0690000000000000058
2011-07-01,0.0729999999999999954
2011-08-01,0.0810000000000000026
2011-09-01,0.0800000000000000017
2011-10-01,0.0810000000000000026
2011-11-01,0.0769999999999999990
2011-12-01,0.0779999999999999999
2012-01-01,0.0800000000000000017
2012-02-01,0.0850000000000000061
2012-03-01,0.0840000000000000052
2012-04-01,0.0749999999999999972
2012-05-01,0.0840000000000000052
2012-06-01,0.0759999999999999981
2012-07-01,0.0840000000000000052
2012-08-01,0.0859999999999999931
2012-09-01,0.0850000000000000061
2012-10-01,0.0850000000000000061
2012-11-01,0.0859999999999999931
2012-12-01,0.0819999999999999063
2013-01-01,0.0830000000000000043
2013-02-01,0.0800000000000000017
2013-03-01,0.0800000000000000017
2013-04-01,0.0700000000000000067
2013-05-01,0.0700000000000000067
2013-06-01,0.0700000000000000067
2013-07-01,0.0700000000000000067
2013-08-01,0.0700000000000000067
2013-09-01,0.0700000000000000067
2013-10-01,0.0700000000000000067
2013-11-01,0.0700000000000000067
2013-12-01,0.0700000000000000067
2014-01-01,0.0700000000000000067
2014-02-01,0.0800000000000000017
2014-03-01,0.0700000000000000067
2014-04-01,0.0599999999999999978
2014-05-01,0.0700000000000000067
2014-06-01,0.0700000000000000067
2014-07-01,0.0700000000000000067
2014-08-01,0.0700000000000000067
2014-09-01,0.0700000000000000067
2014-10-01,0.0599999999999999978
2014-11-01,0.0599999999999999978
2014-12-01,0.0700000000000000067
2015-01-01,0.0700000000000000067
2015-02-01,0.0800000000000000017
2015-03-01,0.0700000000000000067
2015-04-01,0.0599999999999999978
2015-05-01,0.0700000000000000067
2015-06-01,0.0700000000000000067
2015-07-01,0.0700000000000000067
2015-08-01,0.0800000000000000017
2015-09-01,0.0700000000000000067
2015-10-01,0.0800000000000000017
2015-11-01,0.0800000000000000017
2015-12-01,0.0700000000000000067
2016-01-01,0.0700000000000000067
2016-02-01,0.0299999999999999989
2016-03-01,-0.0030000000000000001
2016-04-01,-0.0359999999999999973
2016-05-01,-0.0589999999999999969
2016-06-01,-0.0550000000000000003
2016-07-01,-0.0429999999999999966
2016-08-01,-0.0429999999999999966
2016-09-01,-0.0519999999999999976
2016-10-01,-0.0369999999999999982
2016-11-01,-0.0490000000000000019
2016-12-01,-0.0439999999999999974
2017-01-01,-0.0449999999999999983
2017-02-01,-0.0379999999999999991
2017-03-01,-0.0420000000000000026
2017-04-01,-0.0539999999999999994
2017-05-01,-0.0529999999999999985
2017-06-01,-0.0559999999999998971
2017-07-01,-0.0539999999999999994
2017-08-01,-0.0490000000000000019
2017-09-01,-0.0579999999999998989
2017-10-01,-0.0369999999999999982
2017-11-01,-0.0480000000000000010
2017-12-01,-0.0420000000000000026
2018-01-01,-0.0400000000000000008
2018-02-01,-0.0420000000000000026
2018-03-01,-0.0619999999999999996
2018-04-01,-0.0630000000000000004
2018-05-01,-0.0609999999999999987
2018-06-01,-0.0709999999999999937
2018-07-01,-0.0700000000000000067
2018-08-01,-0.0589999999999999969
2018-09-01,-0.0579999999999998989
2018-10-01,-0.0599999999999999978
2018-11-01,-0.0709999999999999937
2018-12-01,-0.0680000000000000049
2019-01-01,-0.0640000000000000013
2019-02-01,-0.0550000000000000003
2019-03-01,-0.0409999999999998976
2019-04-01,-0.0670000000000000040
2019-05-01,-0.0490000000000000019
2019-06-01,-0.0619999999999999996
2019-07-01,-0.0709999999999999937
2019-08-01,-0.0449999999999999983
2019-09-01,-0.0589999999999999969
2019-10-01,-0.0210000000000000013
2019-11-01,-0.0429999999999999966
2019-12-01,-0.0379999999999999991
2020-01-01,-0.0320000000000000007
2020-02-01,-0.0160000000000000003
2020-03-01,-0.0470000000000000001
2020-04-01,-0.0359999999999999973
2020-05-01,-0.0470000000000000001
2020-06-01,-0.0480000000000000010
2020-07-01,-0.0279999999999999000
2020-08-01,-0.0350000000000000033
2020-09-01,-0.0539999999999999994
2020-10-01,-0.0200000000000000004
2020-11-01,-0.0320000000000000007
2020-12-01,-0.0259999999999999988
2021-01-01,-0.0170000000000000012
2021-02-01,-0.0160000000000000003
2021-03-01,-0.0170000000000000012
2021-04-01,-0.0120000000000000002
2021-05-01,-0.0170000000000000012
2021-06-01,-0.0289999999999999009
2021-07-01,-0.0359999999999999973
2021-08-01,-0.0340000000000000024
2021-09-01,-0.0219999999999999987
2021-10-01,-0.0269999999999999997
2021-11-01,-0.0389999999999999999
2021-12-01,-0.0259999999999999988
2022-01-01,-0.0200000000000000004
2022-02-01,-0.0179999999999999986
2022-03-01,-0.0080000000000000002
2022-04-01,-0.0120000000000000002
2022-05-01,-0.0179999999999999986
2022-06-01,-0.0379999999999999991
2022-07-01,-0.0120000000000000002
2022-08-01,-0.0179999999999999986
2022-09-01,-0.0490000000000000019
2022-10-01,-0.0500000000000000028
2022-11-01,-0.0670000000000000040
2022-12-01,-0.0700000000000000067
2023-01-01,-0.0200000000000000004
2023-02-01,-0.0189999999999999995
2023-03-01,-0.0170000000000000012
2023-04-01,-0.0149999999999999994
2023-05-01,-0.0509999999999999967
2023-06-01,-0.0660000000000000031
2023-07-01,-0.0459999999999999992
2023-08-01,-0.0640000000000000013
2023-09-01,-0.0539999999999999994
2023-10-01,-0.0200000000000000004
2023-11-01,-0.0149999999999999994
2023-12-01,-0.0120000000000000002
2024-01-01,-0.0139999999999998997
2024-02-01,-0.0060000000000000001
2024-03-01,0.0219999999999999987
2024-04-01,0.0769999999999999990
2024-05-01,0.0769999999999999990
2024-06-01,0.0769999999999999990
2024-07-01,0.0779999999999999999
2024-08-01,0.2269999999999998963
2024-09-01,0.2269999999999998963
2024-10-01,0.2269999999999998963
